"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","216.0279555293615","193.07299233888756","0.033935546875","0.0322265625","0.03564453125","2600","0.00019212369723090484","0.00019212369723090484","0","0.00019212369723090484","0.00019212369723090484","0_1:0.0025951577982137874","0_1:0.0014714982253970221","0_1:68","true"
"1","243.2006086324176","408.0263227017342","0.269287109375","0.53515625","0.00341796875","2600","0.0002146951781118115","0.0002146951781118115","0","0.0002146951781118115","0.0002146951781118115","1_2:0.002086063135128269;1_0:0.0025951577982137874","1_2:1;1_0:0.0014714982253970221","1_2:68;1_0:68","true"
"2","275.4670017439484","82.32882947358068","0.025634765625","0.029296875","0.02197265625","2600","1","1","0","1","1","2_1:0.002086063135128269;2_3:0.0024185865154794373","2_1:1;2_3:0.0021489399282607624","2_1:68;2_3:68","true"
"3","154.69292364101352","66.52688225564111","0.0654296875","0.01611328125","0.11474609375","2600","0.00015891763919011093","0.00015891763919011093","0","0.00015891763919011093","0.00015891763919011093","3_16:0.0026951538495673666;3_2:0.0024185865154794373;3_4:0.002528591268125324","3_16:0.002909693503662769;3_2:0.0021489399282607624;3_4:0.0026410617019535787","3_16:68;3_2:68;3_4:68","true"
"4","211.13411612661565","180.86030064025664","0.006591796875","0.0107421875","0.00244140625","2600","0.00022568310535369044","0.00022568310535369044","0","0.00022568310535369044","0.00022568310535369044","4_3:0.002528591268125324;4_5:0.002320421292532404","4_3:0.0026410617019535787;4_5:0.0033903993372131624","4_3:68;4_5:68","true"
"5","201.58714761153564","206.3294682182563","0.003662109375","0.0048828125","0.00244140625","2600","0.00016907027753404594","0.00016907027753404594","0","0.00016907027753404594","0.00016907027753404594","5_6:0.002315051914205668;5_4:0.002320421292532404","5_6:1;5_4:0.0033903993372131624","5_6:68;5_4:68","true"
"6","331.3841237761729","303.1129963183669","0.005126953125","0.005859375","0.00439453125","2600","0.00017625750601292313","0.00017625750601292313","0","0.00017625750601292313","0.00017625750601292313","6_5:0.002315051914205668;6_7:0.0024400554376259875","6_5:1;6_7:0.003716188572009921","6_5:68;6_7:68","true"
"7","291.62860746179297","192.26095706446853","0.02294921875","0.01806640625","0.02783203125","2600","0.00011347619480146387","0.00011347619480146387","0","0.00011347619480146387","0.00011347619480146387","7_17:0.002192757890577879;7_6:0.0024400554376259875;7_8:0.002838460551668809","7_17:0.003889287973641825;7_6:0.003716188572009921;7_8:0.0031595744449134655","7_17:68;7_6:68;7_8:68","true"
"8","235.7306354851183","249.68971009995946","0.003173828125","0.005859375","0.00048828125","2600","0.00019406368655205635","0.00019406368655205635","0","0.00019406368655205635","0.00019406368655205635","8_9:0.001973584167329012;8_7:0.002838460551668809","8_9:1;8_7:0.0031595744449134655","8_9:68;8_7:68","true"
"9","402.14512571557754","444.87355771539603","0.002685546875","0.0048828125","0.00048828125","2600","0.00009381246891126962","0.00009381246891126962","0","0.00009381246891126962","0.00009381246891126962","9_8:0.001973584167329012;9_10:0.01484923161108731","9_8:1;9_10:1","9_8:68;9_10:68","true"
"10","175.93313608198184","208.7337310896641","0.01806640625","0.0224609375","0.013671875","2600","0.003675864477469962","0.003675864477469962","0","0.003675864477469962","0.003675864477469962","10_9:0.01484923161108731;10_11:0.09022408650013419","10_9:1;10_11:1","10_9:68;10_11:68","true"
"11","234.23745734691937","38.38917336461361","0.0029296875","0.00537109375","0.00048828125","2600","0.00011734778085940891","0.00011734778085940891","0","0.00011734778085940891","0.00011734778085940891","11_18:0.0019896857028252612;11_10:0.09022408650013419;11_12:0.0015064969490722335","11_18:0.002147527742905081;11_10:1;11_12:0.0024891405062177907","11_18:68;11_10:68;11_12:68","true"
"12","354.9825857558645","277.70508131122006","0.00390625","0.005859375","0.001953125","2600","0.00016269498700479255","0.00016269498700479255","0","0.00016269498700479255","0.00016269498700479255","12_13:0.0015951866199667708;12_11:0.0015064969490722335","12_13:1;12_11:0.0024891405062177907","12_13:68;12_11:68","true"
"13","351.26093171437657","206.12633091874065","0.010009765625","0.0185546875","0.00146484375","2600","0.00037340977420223347","0.00037340977420223347","0","0.00037340977420223347","0.00037340977420223347","13_12:0.0015951866199667708;13_14:0.0019024882854560277","13_12:1;13_14:1","13_12:68;13_14:68","true"
"14","310.0451497106663","263.1843545032792","0.003662109375","0.005859375","0.00146484375","2600","0.00018051007872845596","0.00018051007872845596","0","0.00018051007872845596","0.00018051007872845596","14_15:0.0014739124225257583;14_13:0.0019024882854560277","14_15:0.0025907756854288977;14_13:1","14_15:68;14_13:68","true"
"15","217.05376711149088","244.78642612773865","0.00390625","0.0068359375","0.0009765625","2600","0.00010379047475245732","0.00010379047475245732","0","0.00010379047475245732","0.00010379047475245732","15_14:0.0014739124225257583;15_19:0.0029878165807532553","15_14:0.0025907756854288977;15_19:0.0045193465433411295","15_14:68;15_19:68","true"
"16","219.67874656743382","111.38795261793464","0.00634765625","0.0078125","0.0048828125","2600","0.00021633820573746542","0.00021633820573746542","0","0.00021633820573746542","0.00021633820573746542","16_23:0.002598595057404618;16_3:0.0026951538495673666","16_23:0.0017381086222058306;16_3:0.002909693503662769","16_23:68;16_3:68","true"
"17","238.90388394858755","142.89389420276692","0.00732421875","0.01025390625","0.00439453125","2600","0.0003212408235662852","0.0003212408235662852","0","0.0003212408235662852","0.0003212408235662852","17_7:0.002192757890577879;17_27:0.0021842113488492187","17_7:0.003889287973641825;17_27:0.004727967953576412","17_7:68;17_27:68","true"
"18","153.85579963688676","227.37919908010446","0.006103515625","0.01171875","0.00048828125","2600","0.00014277190876576206","0.00014277190876576206","0","0.00014277190876576206","0.00014277190876576206","18_11:0.0019896857028252612;18_31:0.0015132938235506987","18_11:0.002147527742905081;18_31:0.0016798021848334621","18_11:68;18_31:68","true"
