"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"0","346.2494385084324","397.9230534511706","0.032470703125","0.025390625","0.03955078125","2280","0.000374988760596866","32","0.000374988760596866","0","0.000374988760596866","0.000374988760596866","1:0.0009595734321415916","1:68","1:0.0023931914748616667","Yes"
"1","366.811102171046","595.7304801826568","0.008056640625","0.0078125","0.00830078125","2280","0.0003423857147985899","32","0.0003423857147985899","0","0.0003423857147985899","0.0003423857147985899","2:0.0021415502989820534;0:0.0009595734321415916","2:68;0:68","2:0.0025059340243235306;0:0.0023931914748616667","Yes"
"2","273.70446069479044","89.0160513308196","0.005615234375","0.00537109375","0.005859375","2280","0.00029191337003042284","32","0.00029191337003042284","0","0.00029191337003042284","0.00029191337003042284","1:0.0021415502989820534;3:0.0034960916443192713","1:68;3:68","1:0.0025059340243235306;3:0.0017502621862669487","Yes"
"3","250.19334752368664","377.66943816643885","0.008544921875","0.015625","0.00146484375","2280","0.0008502843641195094","32","0.0008502843641195094","0","0.0008502843641195094","0.0008502843641195094","16:0.0029572072064609767;2:0.0034960916443192713;4:0.003127646169634485","16:68;2:68;4:68","16:0.004632489725965444;2:0.0017502621862669487;4:0.0026748457151035687","Yes"
"4","318.8141726053665","61.6907548700254","0.01318359375","0.009765625","0.0166015625","2280","0.00013337857054183608","32","0.00013337857054183608","0","0.00013337857054183608","0.00013337857054183608","3:0.003127646169634485;5:0.0014460436898813267","3:68;5:68","3:0.0026748457151035687;5:0.0028990729541909233","Yes"
"5","157.15150786639094","75.5074571146241","0.00439453125","0.00732421875","0.00146484375","2280","0.00016057758284492718","32","0.00016057758284492718","0","0.00016057758284492718","0.00016057758284492718","6:0.00468730786451696;4:0.0014460436898813267","6:68;4:68","6:0.003968410005789763;4:0.0028990729541909233","Yes"
"6","288.4166926910555","131.1776741329379","0.010498046875","0.0107421875","0.01025390625","2280","0.00018951429501904064","32","0.00018951429501904064","0","0.00018951429501904064","0.00018951429501904064","5:0.00468730786451696;7:0.007170078861965801","5:68;7:80","5:0.003968410005789763;7:0.008068546454585351","Yes"
"7","436.2226071904543","91.49570388483659","0.0185546875","0.0185546875","0.0185546875","2280","0.0001853728779972024","32","0.0001853728779972024","0","0.0001853728779972024","0.0001853728779972024","17:0.007121495273546913;6:0.007170078861965801;8:0.008186010247653197","17:68;6:80;8:68","17:0.005486503141179377;6:0.008068546454585351;8:0.004067657777401618","Yes"
"8","165.53354174351057","42.545324261290084","0.03466796875","0.02392578125","0.04541015625","2280","0.0003188562617731187","32","0.0003188562617731187","0","0.0003188562617731187","0.0003188562617731187","9:0.0022161959167109335;7:0.008186010247653197","9:68;7:68","9:0.05566973686482163;7:0.004067657777401618","Yes"
"9","21.692854400523586","33.57420031957272","0.022216796875","0.04296875","0.00146484375","2280","0.0005562471493405092","32","0.0005562471493405092","0","0.0005562471493405092","0.0005562471493405092","8:0.0022161959167109335;10:0.002296953466869478","8:68;10:68","8:0.05566973686482163;10:0.014332289451906094","Yes"
